observation_id,captive,endemic,code,image_path
5954638,False,False,US,pubtest/7437408.jpg
3074568,False,False,ID,pubtest/3543837.jpg
37207473,False,False,US,pubtest/58945588.jpg
37280098,False,False,TH,pubtest/59067915.jpg
116571,False,False,GY,pubtest/166608.JPG
2893137,False,False,YE,pubtest/3308559.jpg
5954640,False,False,US,pubtest/7437409.jpg
37280136,False,False,BR,pubtest/59067982.jpg
122260,False,False,PY,pubtest/174389.JPG
117814,False,False,PY,pubtest/168354.JPG
22380690,False,False,TZ,pubtest/34662972.jpg
579162,False,False,ID,pubtest/736711.jpg
117817,False,False,PY,pubtest/168357.JPG
2621220,False,False,VE,pubtest/2934075.jpg
147246,False,False,TZ,pubtest/203073.JPG
117381,False,False,TZ,pubtest/167727.JPG
1468515,False,False,US,pubtest/1820740.jpg
3744345,False,False,BR,pubtest/4354631.jpg
22379930,False,False,TZ,pubtest/34661725.jpg
22379930,False,False,TZ,pubtest/34661981.jpg
8954125,False,False,BO,pubtest/12067914.jpeg
22381187,False,False,TZ,pubtest/34663739.jpg
125668,False,False,AU,pubtest/177872.JPG
4338311,False,False,US,pubtest/5209990.jpg
19295824,False,False,US,pubtest/29659013.jpg
69873881,False,False,AR,pubtest/113481078.jpg
145959,False,True,US,pubtest/201495.jpg
2899814,False,False,ZW,pubtest/4198415.jpg
37574574,False,False,BZ,pubtest/59591813.jpeg
73283958,False,True,FR,pubtest/119621225.jpg
32373600,False,False,PE,pubtest/50767205.jpg
32373600,False,False,PE,pubtest/50767211.jpg
32373600,False,False,PE,pubtest/50767220.jpg
32373600,False,False,PE,pubtest/50767229.jpg
32373600,False,False,PE,pubtest/50767239.jpg
32373600,False,False,PE,pubtest/50767244.jpg
32373600,False,False,PE,pubtest/50767253.jpg
16365655,False,False,PE,pubtest/24604660.jpg
69687865,False,False,NI,pubtest/113124327.jpeg
50555441,False,False,UA,pubtest/80276309.jpg
50555441,False,False,UA,pubtest/80276829.jpg
50555441,False,False,UA,pubtest/80276830.jpg
50555441,False,False,UA,pubtest/80276833.jpg
50555441,False,False,UA,pubtest/80276840.jpg
2900006,False,False,MX,pubtest/3341920.jpg
1828603,False,False,unknown,pubtest/2219657.jpg
37575705,False,False,BZ,pubtest/59593780.jpeg
4270027,False,False,US,pubtest/5112957.jpeg
2899295,False,False,MX,pubtest/3645953.jpg
50661762,False,False,NI,pubtest/80442848.jpeg
4953408,False,False,TL,pubtest/6042184.jpeg
8686332,False,True,unknown,pubtest/11640492.jpg
