observation_id,endemic,binomial_name,code,image_path,class_id,subset
2670823,True,Zamenis lineatus,IT,1990/Zamenis_lineatus/3001242.jpg,1779,train
70108926,False,Xenoxybelis argenteus,VE,1990/Xenoxybelis_argenteus/113910655.jpg,1772,train
70108926,False,Xenoxybelis argenteus,VE,1990/Xenoxybelis_argenteus/113910659.jpg,1772,train
117935,False,Aspidelaps lubricus,ZA,1990/Aspidelaps_lubricus/168477.JPG,95,train
125284,False,Telescopus beetzi,ZA,1990/Telescopus_beetzi/177365.JPG,1606,train
125266,False,Dipsina multimaculata,unknown,1990/Dipsina_multimaculata/177336.JPG,561,train
125267,False,Dasypeltis scabra,unknown,1990/Dasypeltis_scabra/177337.JPG,469,train
1082102,False,Bitis peringueyi,unknown,1990/Bitis_peringueyi/1358706.JPG,161,train
117940,False,Bitis caudalis,ZA,1990/Bitis_caudalis/168482.JPG,157,train
5954637,False,Lampropeltis annulata,US,1990/Lampropeltis_annulata/7437403.jpg,861,train
36615943,False,Elaphe schrenckii,RU,1990/Elaphe_schrenckii/57902708.jpg,621,train
36619782,False,Gloydius intermedius,RU,1990/Gloydius_intermedius/57909018.jpg,741,train
37280129,False,Amphiesma stolatum,TH,1990/Amphiesma_stolatum/59067968.jpg,66,train
27445689,False,Lachesis muta,BR,1990/Lachesis_muta/42704088.jpg,857,train
37280100,False,Oligodon taeniatus,TH,1990/Oligodon_taeniatus/59067926.jpg,1182,train
68796818,True,Vipera berus,NL,1990/Vipera_berus/111487306.jpeg,1736,train
68796816,False,Coronella austriaca,NL,1990/Coronella_austriaca/111486989.jpeg,387,train
122072,False,Calabaria reinhardtii,CM,1991/Calabaria_reinhardtii/174177.JPG,267,train
125558,False,Causus maculatus,CM,1991/Causus_maculatus/177715.JPG,296,train
65692941,True,Pseudalsophis dorsalis,EC,1991/Pseudalsophis_dorsalis/105775021.jpeg,1363,train
522708,False,Zamenis situla,HR,1991/Zamenis_situla/3001257.jpg,1783,train
522708,False,Zamenis situla,HR,1991/Zamenis_situla/3001258.jpg,1783,train
2670525,False,Elaphe quatuorlineata,HR,1991/Elaphe_quatuorlineata/3000817.jpg,619,train
2670542,False,Elaphe quatuorlineata,HR,1991/Elaphe_quatuorlineata/3000836.jpg,619,train
55724,False,Telescopus fallax,AM,1991/Telescopus_fallax/87045.jpg,1608,train
