scientific_name
Achalinus ater
Achalinus emilyae
Achalinus juliani
Achalinus quangi
Achalinus rufescens
Achalinus spinalis
Achalinus timi
Achalinus tranganensis
Achalinus vanhoensis
Achalinus zugorum
Acrochordus granulatus
Acrochordus javanicus
Ahaetulla fusca
Ahaetulla prasina
Ahaetulla rufusoculara
Aipysurus eydouxii
Amphiesma stolatum
Amphiesmoides ornaticeps
Archelaphe bella
Argyrophis diardii
Argyrophis giadinhensis
Argyrophis muelleri
Argyrophis siamensis
Azemiops feae
Boiga bourreti
Boiga cyanea
Boiga dendrophila
Boiga drapiezii
Boiga guangxiensis
Boiga jaspidea
Boiga kraepelini
Boiga multomaculata
Boiga siamensis
Bungarus bungaroides
Bungarus candidus
Bungarus fasciatus
Bungarus flaviceps
Bungarus multicinctus
Bungarus slowinskii
Bungarus wanghaotingi
Calamaria abramovi
Calamaria buchi
Calamaria concolor
Calamaria dominici
Calamaria gialaiensis
Calamaria lovii
Calamaria pavimentata
Calamaria sangi
Calamaria septentrionalis
Calamaria strigiventris
Calamaria thanhi
Calliophis intestinalis
Calliophis maculiceps
Calloselasma rhodostoma
Cerberus schneiderii
Chrysopelea ornata
Coelognathus flavolineatus
Coelognathus radiatus
Colubroelaps adleri
Colubroelaps nguyenvansangi
Cylindrophis jodiae
Cylindrophis ruffus
Deinagkistrodon acutus
Dendrelaphis biloreatus
Dendrelaphis binhi
Dendrelaphis ngansonensis
Dendrelaphis pictus
Dendrelaphis proarchos
Dendrelaphis subocularis
Dryophiops rubescens
Elaphe carinata
Elaphe moellendorffi
Elaphe taeniura
Emydocephalus annulatus
Enhydris enhydris
Enhydris innominata
Enhydris subtaeniata
Erpeton tentaculatum
Euprepiophis mandarinus
Fimbrios klossi
Fimbrios smithi
Fordonia hoani
Fordonia leucobalia
Fowlea flavipunctata
Fowlea piscator
Gongylosoma frenata
Gongylosoma pallidonuchalis
Gonyosoma boulengeri
Gonyosoma coeruleum
Gonyosoma frenatum
Gonyosoma iadinum
Gonyosoma oxycephalum
Hebius andreae
Hebius annamensis
Hebius atemporalis
Hebius bitaeniatus
Hebius boulengeri
Hebius chapaensis
Hebius craspedogaster
Hebius igneus
Hebius khasiensis
Hebius leucomystax
Hebius ngoclinhensis
Hebius popei
Hebius sauteri
Hebius vogeli
Homalopsis buccata
Homalopsis mereljcoxi
Hydrophis annandalei
Hydrophis anomalus
Hydrophis atriceps
Hydrophis belcheri
Hydrophis brookii
Hydrophis caerulescens
Hydrophis curtus
Hydrophis cyanocinctus
Hydrophis fasciatus
Hydrophis hardwickii
Hydrophis jerdonii
Hydrophis klossi
Hydrophis lamberti
Hydrophis melanocephalus
Hydrophis ornatus
Hydrophis pachycercos
Hydrophis parviceps
Hydrophis peronii
Hydrophis platurus
Hydrophis schistosus
Hydrophis spiralis
Hydrophis stokesii
Hydrophis torquatus
Hydrophis viperinus
Hypsiscopus murphyi
Hypsiscopus plumbeus
Hypsiscopus wettsteini
Indotyphlops braminus
Laticauda colubrina
Liopeltis tricolor
Lycodon anakradaya
Lycodon calcarophilus
Lycodon capucinus
Lycodon cardamomensis
Lycodon chapaensis
Lycodon davisonii
Lycodon duytan
Lycodon fasciatus
Lycodon flavozonatus
Lycodon futsingensis
Lycodon laoensis
Lycodon neomaculatus
Lycodon paucifasciatus
Lycodon pictus
Lycodon poyarkovi
Lycodon rosozonatus
Lycodon rufozonatus
Lycodon ruhstrati
Lycodon septentrionalis
Lycodon truongi
Malayopython reticulatus
Microcephalophis gracilis
Myrrophis bennettii
Myrrophis chinensis
Myrrophis dakkrongensis
Naja atra
Naja fuxi
Naja kaouthia
Naja siamensis
Oligodon albocinctus
Oligodon annamensis
Oligodon barroni
Oligodon catenatus
Oligodon chinensis
Oligodon cinereus
Oligodon condaoensis
Oligodon culaochamensis
Oligodon cyclurus
Oligodon deuvei
Oligodon eberhardti
Oligodon fasciolatus
Oligodon formosanus
Oligodon lacroixi
Oligodon macrurus
Oligodon moricei
Oligodon mouhoti
Oligodon nagao
Oligodon ocellatus
Oligodon rostralis
Oligodon saintgironsi
Oligodon taeniatus
Oligodon tuani
Ophiophagus hannah
Opisthotropis andersonii
Opisthotropis cucae
Opisthotropis daovantieni
Opisthotropis durandi
Opisthotropis haihaensis
Opisthotropis jacobi
Opisthotropis lateralis
Opisthotropis tamdaoensis
Opisthotropis voquyi
Oreocryptophis porphyraceus
Ovophis anitae
Ovophis makazayazaya
Ovophis monticola
Ovophis tonkinensis
Parafimbrios lao
Parafimbrios vietnamensis
Pareas abros
Pareas berdmorei
Pareas carinatus
Pareas formosensis
Pareas hamptoni
Pareas kuznetsovorum
Pareas macularius
Pareas margaritophorus
Pareas monticola
Pareas temporalis
Pareas yunnanensis
Plagiopholis delacouri
Plagiopholis nuchalis
Plagiopholis styani
Plagiopholis yangi
Protobothrops cornutus
Protobothrops jerdonii
Protobothrops maolanensis
Protobothrops mucrosquamatus
Protobothrops sieversorum
Protobothrops trungkhanhensis
Psammodynastes pulverulentus
Psammophis indochinensis
Pseudoxenodon bambusicola
Pseudoxenodon karlschmidti
Pseudoxenodon macrops
Ptyas bachmaensis
Ptyas carinata
Ptyas dhumnades
Ptyas korros
Ptyas major
Ptyas mucosa
Ptyas multicincta
Ptyas nigromarginata
Python bivittatus
Python brongersmai
Rhabdophis angeli
Rhabdophis callichroma
Rhabdophis chrysargos
Rhabdophis helleri
Rhabdophis hmongorum
Rhabdophis leonardi
Rhabdophis nigrocinctus
Rhabdophis nuchalis
Rhabdophis siamensis
Rhabdophis tigrinus
Sibynophis chinensis
Sibynophis collaris
Sibynophis melanocephalus
Sinomicrurus kelloggi
Sinomicrurus macclellandi
Sinomicrurus peinani
Subsessor bocourti
Trimeresurus albolabris
Trimeresurus cardamomensis
